Time(ms)	Frame	Class	Confidence	FieldArea	RoadArea
411	1	0	0.03	1060	33077
443	2	0	0.03	1003	32838
464	3	0	0.03	980	31773
483	4	0	0.03	894	33052
505	5	0	0.03	1033	33428
522	6	0	0.02	787	34394
542	7	0	0.02	628	34709
561	8	0	0.02	640	34191
595	9	0	0.02	784	32723
613	10	0	0.02	626	32665
632	11	0	0.02	610	32435
654	12	0	0.02	544	32067
675	13	0	0.02	754	30103
700	14	0	0.02	604	30920
720	15	0	0.02	621	30140
737	16	0	0.02	557	30127
753	17	0	0.02	605	28656
768	18	0	0.02	597	27992
786	19	0	0.02	658	27421
801	20	0	0.03	671	24428
818	21	0	0.04	827	18711
836	22	0	0.04	745	18998
853	23	0	0.04	697	18077
874	24	0	0.04	734	17955
890	25	0	0.04	779	17317
908	26	0	0.04	715	17473
925	27	0	0.03	626	17842
941	28	0	0.03	571	18227
957	29	0	0.03	615	18647
973	30	0	0.03	611	18889
990	31	0	0.04	679	18709
1006	32	0	0.03	653	18386
1024	33	0	0.04	735	17790
1041	34	0	0.04	682	18313
1059	35	0	0.04	663	18146
1076	36	0	0.03	663	18621
1093	37	0	0.03	624	18214
1109	38	0	0.04	763	17533
1125	39	0	0.04	814	17897
1144	40	0	0.05	904	17705
1161	41	0	0.05	957	18146
1181	42	0	0.05	922	17870
1198	43	0	0.05	947	17636
1216	44	0	0.04	812	18331
1234	45	0	0.04	793	17438
1250	46	0	0.04	750	17124
1266	47	0	0.04	783	16834
1281	48	0	0.05	806	16478
1297	49	0	0.05	900	16599
1312	50	0	0.04	800	17393
1327	51	0	0.04	741	18342
1342	52	0	0.04	702	17818
1358	53	0	0.04	700	17582
1375	54	0	0.04	713	16318
1391	55	0	0.04	662	14893
1407	56	0	0.04	636	15061
1425	57	0	0.04	573	14251
1442	58	0	0.04	589	14331
1459	59	0	0.03	477	13324
1475	60	0	0.03	353	12932
1492	61	0	0.03	364	12816
1510	62	0	0.03	390	13032
1528	63	0	0.03	364	13434
1544	64	0	0.03	401	13361
1559	65	0	0.03	397	13200
1574	66	0	0.03	391	13106
1590	67	0	0.02	293	13962
1606	68	0	0.01	164	13546
1621	69	0	0.00	60	14052
1637	70	0	0.01	72	14249
1653	71	0	0.00	48	13633
1669	72	0	0.01	76	12960
1684	73	0	0.00	36	12809
1701	74	0	0.00	36	11567
1718	75	0	0.00	0	11541
1736	76	0	0.00	0	11431
1752	77	0	0.00	0	11648
1768	78	0	0.00	0	11610
1785	79	0	0.00	0	11831
1804	80	0	0.00	0	12037
1820	81	0	0.00	0	11941
1836	82	0	0.00	0	11148
1851	83	0	0.00	0	11042
1868	84	0	0.00	0	10948
1884	85	0	0.00	0	10311
1899	86	0	0.00	0	9959
1913	87	0	0.00	0	9333
1928	88	0	0.00	0	9478
1944	89	0	0.00	0	9857
1960	90	0	0.00	0	10218
1976	91	0	0.00	0	10604
1991	92	0	0.00	0	10441
2006	93	0	0.00	0	10691
2021	94	0	0.00	0	10482
2037	95	0	0.00	0	10237
2056	96	0	0.00	0	9733
2077	97	0	0.00	0	8916
2096	98	0	0.00	0	8968
2116	99	0	0.00	0	8768
2133	100	0	0.00	0	9625
2148	101	0	0.00	0	10332
2164	102	0	0.00	0	10323
2179	103	0	0.00	0	9569
2194	104	0	0.00	0	9441
2209	105	0	0.00	0	9419
