Time, X Coordinate, Y Coordinate
2025-08-13 17:48:54.602371, 641.23, 1800.22
2025-08-13 17:48:55.358697, 642.15, 1766.25
2025-08-13 17:48:55.827019, 640.86, 1727.78
2025-08-13 17:48:56.270925, 641.40, 1689.30
2025-08-13 17:48:56.706981, 641.48, 1648.13
2025-08-13 17:48:57.197426, 641.92, 1602.72
2025-08-13 17:48:57.827110, 642.16, 1557.37
2025-08-13 17:48:58.409082, 642.58, 1509.18
2025-08-13 17:48:58.917742, 643.48, 1459.01
2025-08-13 17:48:59.480090, 643.03, 1410.25
2025-08-13 17:48:59.954125, 644.47, 1355.47
2025-08-13 17:49:00.415851, 644.96, 1299.23
2025-08-13 17:49:01.062405, 647.28, 1247.63
2025-08-13 17:49:01.643953, 649.34, 1189.90
2025-08-13 17:49:02.129066, 658.32, 1130.42
2025-08-13 17:49:02.830945, 664.59, 1076.74
2025-08-13 17:49:03.346152, 669.93, 1026.73
2025-08-13 17:49:03.835279, 673.03, 978.08
2025-08-13 17:49:04.576048, 674.24, 925.69
2025-08-13 17:49:05.050746, 676.56, 873.06
2025-08-13 17:49:05.607171, 677.58, 816.52
2025-08-13 17:49:06.290252, 676.37, 762.57
2025-08-13 17:49:06.899726, 675.52, 707.50
2025-08-13 17:49:07.348855, 675.68, 654.39
2025-08-13 17:49:07.776931, 676.04, 599.27
2025-08-13 17:49:08.221856, 675.45, 541.93
2025-08-13 17:49:08.668309, 674.18, 494.95
2025-08-13 17:49:09.111658, 674.07, 459.76
2025-08-13 17:49:09.553293, 677.53, 425.61
2025-08-13 17:49:09.993232, 683.72, 391.10
2025-08-13 17:49:10.429053, 687.92, 352.50
